placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/11375,11375,2022,75212,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,60326,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11377,11377,2022,86977,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37838,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11378,11378,2022,39250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,42083,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11379,11379,2022,38261,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,43814,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11385,11385,2022,105521,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,41912,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11411,11411,2022,21329,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,45042,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11412,11412,2022,40593,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,41041,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11413,11413,2022,44832,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,45482,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11414,11414,2022,30374,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,47065,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11415,11415,2022,20315,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,51778,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11416,11416,2022,27794,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35291,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11417,11417,2022,31200,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35014,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11418,11418,2022,38317,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32279,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11419,11419,2022,48096,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32909,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11420,11420,2022,51153,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38115,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11421,11421,2022,41552,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35823,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11422,11422,2022,32296,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,45431,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11423,11423,2022,29921,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35575,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11424,11424,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/11425,11425,2020,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/11426,11426,2022,19733,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,48999,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11427,11427,2022,25187,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38425,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11428,11428,2022,19554,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37563,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11429,11429,2022,27845,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,40255,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11430,11430,2022,332,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,11336,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11432,11432,2022,64268,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,32431,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11433,11433,2022,38865,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31142,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11434,11434,2022,68182,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37263,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11435,11435,2022,59961,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35605,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11436,11436,2022,21349,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36680,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11451,11451,2022,0,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,,,
zip/11691,11691,2022,70365,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,29326,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11692,11692,2022,24584,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11693,11693,2022,13558,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,39613,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11694,11694,2022,21788,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,49243,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/11697,11697,2022,3946,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,68769,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
